SERIAL_NUMBER;TITLE;STATUS;Part_number;Descripcion;suscription_id;FechaActivacion;FechaVencimiento;EmpresaCI;cantidad;coste;pvp2;pvp_total;tipo_facturacion;mail_contacto;val;autorenovable
LICCHMLABGROM3652;LICENCIA M365 CHMLAB GROUP 2005 SL;active;TTC0LH161A1A;Exchange Online (Plan 1);3918ef39-1208-4641-c18f-e5cfa1f5f88d;2022-07-06;2025-06-06;CHMLAB GROUP 2005, SL;2;37.79;44.4;88.8;Anual;helena@chmlab.com;0;0
LICCHMLABGROM3653;LICENCIA M365 CHMLAB GROUP 2005, SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;f48320dc-2946-4e2b-d757-78cc5b07214a;2024-01-16;2025-01-17;CHMLAB GROUP 2005, SL;8;119.49;140.4;1123.2;Anual;helena@chmlab.com;0;1
LICCLEANPROTM3652;LICENCIA M365 CLEAN PROTECT SLU;active;TTC0LH161A1A;Exchange Online (plan 1);513ec004-cf99-44b9-d45c-7f0235a52558;2023-07-02;2025-06-02;CLEAN PROTECT, SLU;3;37.79;44.4;133.2;Anual;ricardo@clean-protect.es;0;1
LICCOLEGIOOFM3652;LICENCIA M365 COLEGIO OFICIAL DE AGENTES DE LA PROPIEDAD INDUSTRIAL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;3a9d7bda-9202-48e5-c014-afacf27d5f54;2024-04-03;2025-03-03;Colegio Oficial de Agentes de la Propiedad Industrial;3;119.49;140.4;421.2;Anual;coapi@coapi.org;0;1
LICCONSULTORIM3652;LICENCIA M365 CONSULTORIA INTEGRAL DE NETEJA SL;inactive;CSP-ECS-BUS;Microsoft 365 Empresa Premium;9B68EA3A-52AA-4D89-8EE8-BA5EB6E287AD;1970-01-01;1970-01-01;CONSULTORIA INTEGRAL DE NETEJA SL;1;16.63;18.6;18.6;Anual;joan@cin.cat;0;1
LICCONSULTORIM3653;LICENCIA M365 CONSULTORIA INTEGRAL DE NETEJA SL;inactive;CSP-EXO-P1;Exchange Online (plan 1);E57D6632-6915-4655-BE9E-01C3A961764C;1970-01-01;1970-01-01;CONSULTORIA INTEGRAL DE NETEJA SL;2;3.03;3.4;6.8;Anual;joan@cin.cat;0;1
LICCONSULTORIM3654;LICENCIA M365 CONSULTORIA INTEGRAL DE NETEJA SL;active;TTC0LH161A1A;Exchange Online (Plan 1);738b66a8-47d3-4e79-c2e3-5f1484047464;2023-04-20;2025-04-21;CONSULTORIA INTEGRAL DE NETEJA SL;4;37.79;44.4;177.6;Anual;joan@cin.cat;0;1
LICCOOPERATIVM3652;LICENCIA M365 COOPERATIVA MONTEBRIONE;active;TTC0LH161A1A;Exchange Online (Plan 1);615f40f1-f01b-4fda-d7e9-8799a9ad2e70;2023-03-11;2025-07-11;COOPERATIVA MONTEBRIONE;2;37.79;44.4;88.8;Anual;cooperativa@montebrione.cat;0;1
LICCOOPERATIVM3653;LICENCIA M365 COOPERATIVA MONTEBRIONE;inactive;CSP-EXO-P1;Exchange Online (plan 1);BC8FEC22-3867-4CC8-85F0-BC2EA23E8AF7;1970-01-01;1970-01-01;COOPERATIVA MONTEBRIONE;2;3.03;3.4;6.8;Anual;cooperativa@montebrione.cat;0;1
LICCOOPERATIVM3654;LICENCIA M365 COOPERATIVA MONTEBRIONE;inactive;CSP-365-BUS;Aplicaciones de Microsoft 365 para negocios;A70A1031-6B15-4879-8083-2DBE8C2142C3;1970-01-01;1970-01-01;COOPERATIVA MONTEBRIONE;1;57.19;67.2;67.2;Anual;cooperativa@montebrione.cat;0;1
LICDVMIBERICM3652;LICENCIA M365 DVM IBERICA SLU;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;64010a40-c4f2-43cf-c4f1-cd26d374e5ea;2023-09-13;2025-12-09;DVM IBERICA SLU;1;119.49;140.4;140.4;Anual;klaus.kerner@dexa-soluciones.es;0;1
LICDVMIBERICM3653;LICENCIA M365 DVM IBERICA SLU;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;4e6b2c15-aa81-4e0c-c2c4-87a5ddef7409;2023-12-12;2025-11-30;DVM IBERICA SLU;2;57.19;67.2;134.4;Anual;klaus.kerner@dexa-soluciones.es;0;1
LICEGDLOGISTM3652;LICENCIA M365 EGD LOGISTICS SL;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;a1157f48-886d-42f3-d27d-1befe954635b;2022-04-28;2025-04-27;EGD LOGISTICS SL;3;100.09;117.6;352.8;Anual;david.rovira@egdlogistics.com;0;1
LICENCATRANSM3652;LICENCIA M365 ENCATRANS;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;9b6199aa-5dcf-4f47-ce25-2f228a05130d;2024-01-16;2025-01-19;ENCATRANS;7;119.49;140.4;982.8;Anual;deslava@encatrans.es;0;1
LICEQUIPOSPAM3652;LICENCIA M365 EQUIPOS PARA MANUTENCION Y OBRAS SA;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;9c625b14-444b-4d84-d863-7bfcf6f7c4af;2023-10-01;2026-09-01;EQUIPOS PARA MANUTENCION Y OBRAS SA;3;100.09;117.6;352.8;Anual;alejandro.omedes@emosa.com;0;1
LICEQUIPOSPAM3653;LICENCIA M365 EQUIPOS PARA MANUTENCION Y OBRAS SA;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;225230a8-44c7-40a7-d3e0-ec70d46ec233;2023-06-09;2026-09-01;EQUIPOS PARA MANUTENCION Y OBRAS SA;25;119.49;140.4;3510.0;Anual;alejandro.omedes@emosa.com;0;1
LICFIBERPACHSM3652;LICENCIA M365 fiberpachs.com;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;f8f99b5b-0aa8-450b-de29-65b0d31676f8;2023-04-28;2025-04-27;fiberpachs.com;15;119.49;140.4;2106.0;Anual;m.colomer@fiberpachs.com;0;1
LICFIBERPACHSM3653;LICENCIA M365 FIBERPACHS.COM;active;TTC0JN4R2A1A;Microsoft Teams Essentials;c50cbc1e-c860-43de-df5e-cc6a0295600e;2024-03-25;2025-03-24;fiberpachs.com;100;37.79;44.4;4440.0;Anual;m.colomer@fiberpachs.com;0;1
LICHABILISOUM3652;LICENCIA M365 HABILIS OUTSOURCING SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;baa894af-1276-40f4-c8c3-f6476999dc53;2022-03-11;2025-02-11;HABILIS OUTSOURCING, SL;15;119.49;140.4;2106.0;Anual;csaez@habilis.es;0;1
LICHABILISOUM3653;LICENCIA M365 HABILIS OUTSOURCING SL;active;TTC0J1GB3A1A;Microsoft Defender para punto de conexión P1;b65cc332-8897-48f9-d79a-02acd03d6d79;2022-03-11;2025-02-11;HABILIS OUTSOURCING, SL;5;28.6;33.6;168.0;Anual;csaez@habilis.es;0;1
LICHABILISOUM3654;LICENCIA M365 HABILIS OUTSOURCING SL;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;01863efa-25b4-4934-c9d8-cb0f9aa871e9;2022-03-11;2025-02-11;HABILIS OUTSOURCING, SL;1;100.09;117.6;117.6;Anual;csaez@habilis.es;0;1
LICHABILISOUM3655;LICENCIA M365 HABILIS OUTSOURCING, SL;active;TTC0LH161A1A;Exchange Online (Plan 1);ca7ed237-6ef9-4748-c711-52a31dbd7735;2023-12-14;2025-12-13;HABILIS OUTSOURCING, SL;1;37.79;44.4;44.4;Anual;csaez@habilis.es;0;1
LICIACTASOCIM3652;LICENCIA M365 IACTA SOCIOJURIDICA SCCLP;active;TTC0LCHC2A1A;Microsoft 365 Empresa Premium;7e20a552-88e0-41f7-c668-8fa4ca3ae5f1;2023-07-28;2025-06-30;IACTA SOCIOJURIDICA, SCCLP;9;210.38;247.2;2224.8;Anual;admin@iacta.coop;0;1
LICIACTASOCIM3653;LICENCIA M365 IACTA SOCIOJURIDICA SCCLP;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;ceb6c300-96ab-4cbc-d1ab-2aa31fe75dd7;2023-07-28;2025-06-30;IACTA SOCIOJURIDICA, SCCLP;1;57.19;67.2;67.2;Anual;admin@iacta.coop;0;1
LICIBERBOARDM3652;LICENCIA M365 IBERBOARD MILL SL;inactive;CSP-365-BUP;Microsoft 365 Empresa Estándar;188DDB87-FBBB-4A63-9A06-A098F7A35AAB;1970-01-01;1970-01-01;IBERBOARD MILL SL;50;119.49;140.4;7020.0;Anual;mpuiggene@iberboard.com;0;1
LICIBERBOARDM3653;LICENCIA M365 IBERBOARD MILL SL;inactive;CSP-PBI-PPU;POWER BI PREMIUM PER USER;4F3FC280-1419-4F4A-B8C6-7E42885A4CB6;1970-01-01;1970-01-01;IBERBOARD MILL SL;2;190.98;224.4;448.8;Anual;mpuiggene@iberboard.com;0;1
LICIBERBOARDM3654;LICENCIA M365 IBERBOARD MILL SL;inactive;CSP-DYN-BCEE;Dynamics 365 Business Central Essential;2789C0C7-7705-4C44-B694-25507E63DCB8;1970-01-01;1970-01-01;IBERBOARD MILL SL;5;585.32;786.0;3930.0;Anual;mpuiggene@iberboard.com;0;1
LICIBERBOARDM3655;LICENCIA M365 IBERBOARD MILL SL;active;TTC0LHSF1A1A;Power BI Pro;16acbcb1-347a-4d73-d5a5-db7f9a177881;2022-06-30;2025-06-29;IBERBOARD MILL SL;4;96.0;112.8;451.2;Anual;mpuiggene@iberboard.com;0;0
LICIDROHPPFM3652;LICENCIA M365 IDRO HPP FOOD TECNOLOGY SL;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;5567ae74-bac6-4d47-cafe-0f4cfba351cc;2024-01-31;2025-01-30;IDRO HPP FOOD TECNOLOGY SL;4;57.19;67.2;268.8;Anual;roberto.cabrera@idro.es;0;1
LICJOLTECHSOM3652;LICENCIA M365 JOLTECH SOLUTIONS SL;active;TTC0HD322A1M;Visio Plan 2;14db55d6-455e-4649-d911-798ed2d20277;2023-08-29;2025-10-28;JOLTECH SOLUTIONS SL;1;142.98;168.0;168.0;Mensual;jalopez@jolt-solutions.com;0;1
LICJOLTECHSOM3653;LICENCIA M365 JOLTECH SOLUTIONS SL;active;TTC0LSGZ1A1M;Power Automate Premium;5d294112-5eb4-4242-d885-f44441fc1cd9;2024-07-23;2025-07-22;JOLTECH SOLUTIONS SL;1;134.04;168.0;168.0;Mensual;jalopez@jolt-solutions.com;0;1
LICJOLTECHSOM3654;LICENCIA M365 JOLTECH SOLUTIONS SL;active;TTC0LCHC2A1M;Microsoft 365 Empresa Premium;298e1337-c0ef-407e-c0e0-f63e5db2efd3;2022-05-27;2025-08-10;JOLTECH SOLUTIONS SL;26;210.38;247.2;6427.2;Mensual;jalopez@jolt-solutions.com;0;1
LICLESSEPSMOM3652;LICENCIA M365 LESSEPS MOTOR S.L.;inactive;CSP-CANONE-USO;Microsoft Azure;0408EA51-2AD5-4043-B8A9-448E45C854A9;1970-01-01;;LESSEPS MOTOR S.L.;1;1.1;1.09;1.09;Perpetua;aartigot@gruplesseps.com;0;1
LICLESSEPSMOM3653;LICENCIA M365 LESSEPS MOTOR S.L.;inactive;CSP-CANONE-USO;Microsoft Azure;4BC8127B-4930-4A00-96BB-EF0CFB6E206A;1970-01-01;;LESSEPS MOTOR S.L.;1;1.1;1.09;1.09;Perpetua;aartigot@gruplesseps.com;0;1
LICLESSEPSMOM3654;LICENCIA M365 LESSEPS MOTOR S.L.;active;CSP-CANONE-USO;Plan de Azure;b6e6594f-641e-4405-d94e-b5dd3f279376;2022-01-08;;LESSEPS MOTOR S.L.;1;1.1;1.09;1.09;Perpetua;aartigot@gruplesseps.com;0;0
LICLESSEPSMOM3655;LICENCIA M365 LESSEPS MOTOR S.L.;active;DG7GMGF0D5RK-05;Windows Server Standard Core 2022;ecf39d13-2515-41ee-cd48-d3cd8df4f400;2022-09-30;;LESSEPS MOTOR S.L.;2;0.01;0.01;0.02;Perpetua;aartigot@gruplesseps.com;0;0
LICLORENZOSAM3652;LICENCIA M365 LORENZO SANTOS;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;2de76bdc-080a-4028-de55-2f3068ac7248;2024-04-06;2025-07-06;LORENZO SANTOS;5;119.49;140.4;702.0;Anual;comunidades@lsn.es;0;1
LICLORENZOSAM3653;LICENCIA M365 LORENZO SANTOS;active;TTC0LH161A1A;Exchange Online (Plan 1);6b56a50e-c82f-44da-d78b-2a550171f1b9;2024-05-17;2025-05-16;LORENZO SANTOS;2;37.79;44.4;88.8;Anual;comunidades@lsn.es;0;1
LICMADRIDDIAM3652;LICENCIA M365 MADRID DIARIO SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;4a4d1b9e-8a4a-4e78-ddb3-e809839c375e;2024-04-29;2025-04-28;MADRID DIARIO SL;18;119.49;140.4;2527.2;Anual;erodriguez@madridiario.es;0;1
LICMAGNETOMEM3652;LICENCIA M365 MAGNETO MEDIC TERAPY;inactive;TTC0LH181A1A;Microsoft 365 Empresa Básico;a9408592-d709-4b3d-d1cf-beac24118127;1970-01-01;1970-01-01;MAGNETO MEDIC TERAPY;1;57.19;67.2;67.2;Anual;llarvital.comercial@gmail.com;0;1
LICMARIATEREM3652;LICENCIA M365 MARIA TERESA ARNAL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;41d4d552-7390-4c38-cd54-53212381248f;2023-03-11;2025-04-11;Maria Teresa Arnal;2;119.49;140.4;280.8;Anual;tarnal@tinet.org;0;1
LICMESKELLEURM3652;LICENCIA M365 MESKELLEURE;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;b9da3656-ed0a-42d6-d4a6-d676ae16dd91;2023-12-27;2025-12-31;MESKELLEURE;1;57.19;67.2;67.2;Anual;meskelleure@hotmail.com;0;1
LICNEROQUALIM3652;LICENCIA M365 NERO QUALITY CONSULTING SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;7c75f562-96cf-40f7-de85-cb65cab7502e;2024-01-18;2025-01-17;NERO QUALITY CONSULTING SL;7;119.49;140.4;982.8;Anual;bmoreno@neroqc.com;0;1
LICPLATAFORMAM3652;LICENCIA M365 PLATAFORMAS Y ANDAMIOS INDUSTRIALS, SA;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;0845dcfd-ec13-4546-caf4-bb82430d6f09;2023-01-06;2025-02-06;PLATAFORMAS Y ANDAMIOS INDUSTRIALS, SA;8;119.49;140.4;1123.2;Anual;gemma@plainsaandamios.es;0;1
LICRECICLATGEM3652;LICENCIA M365 RECICLATGES PENEDES;inactive;CSP-365-BUP;Microsoft 365 Empresa Estándar;ECA934BF-DDE7-4226-B63E-90D64AD191F5;1970-01-01;1970-01-01;RECICLATGES PENEDES;5;119.49;140.4;702.0;Anual;administracion@reciclatgespenedes.com;0;1
LICSANDEPARTM3652;LICENCIA M365 SANDE PARTNERS;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;df077bf4-0247-4ce2-ddc8-60558e57fba9;2023-05-05;2025-04-05;SANDE PARTNERS;1;119.49;140.4;140.4;Anual;emma.fullera@sandepartners.com;0;1
LICSERVICIOSM3652;LICENCIA M365 SERVICIOS E INSTALACIONES ALDAGO SL;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;f319e4f4-1800-4ebf-c14a-8079bf879536;2024-04-04;2025-03-04;SERVICIOS E INSTALACIONES ALDAGO SL;2;57.19;67.2;134.4;Anual;dgomez@grupaldago.es;0;1
LICSERVICIOSM3653;LICENCIA M365 SERVICIOS E INSTALACIONES ALDAGO SL;inactive;TTC0LH181M;Microsoft 365 Empresa Básico;b88949df-0108-403e-dbfb-bb32f0d1e6cb;1970-01-01;1970-01-01;SERVICIOS E INSTALACIONES ALDAGO SL;1;5.72;6.72;6.72;Mensual;dgomez@grupaldago.es;0;1
LICSERVICIOSM3654;LICENCIA M365 SERVICIOS E INSTALACIONES ALDAGO SL;active;TTC0LH161A1A;Exchange Online (plan 1);f2293cf0-4116-481b-d264-d9256440d35c;2023-01-02;2025-01-31;SERVICIOS E INSTALACIONES ALDAGO SL;1;37.79;44.4;44.4;Anual;dgomez@grupaldago.es;0;0
LICVEINOUM3652;LICENCIA M365 VEI NOU;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;98cd5c3d-62e0-4d26-dd81-b8071874d4f3;2023-06-11;2025-08-11;VEI NOU;2;119.49;140.4;280.8;Anual;veinoubadal@veinou.cat;0;1
LICVIATGESVIM3652;LICENCIA M365 VIATGES VIATOURS;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;3fc23116-8f37-4ca1-dc48-525e863be05e;2023-12-28;2025-12-27;VIATGES VIATOURS;1;119.49;140.4;140.4;Anual;diana@viatours.cat;0;1
LICLESSEPSMOM3651;LICENCIA M365 LESSEPS MOTOR, SA;active;DG7GMGF0D5RK-05;Windows Server Standard Core 2022;a9a5b404-a071-4583-c360-78c132629b6a;2024-06-06;;LESSEPS MOTOR S.L.;1;0.01;0.01;0.01;Perpetua;aartigot@gruplesseps.com;0;0
LICASESORIAYM3651;LICENCIA M365 ASESORIA Y CONSULTORIA PARA EMPRESAS YOU SL;active;TTC0LH161A1A;Exchange Online (Plan 1);b298d753-860b-4c60-d9ba-8a6ea4d6d8af;2024-04-18;2025-04-17;ASESORIA Y CONSULTORIA PARA EMPRESAS YOU SL;2;37.79;44.4;88.8;Anual;marmartin@youasesoria.com;0;1
LICPLATAFORMAM3651;LICENCIA M365 PLATAFORMAS Y ANDAMIOS INDUSTRIALS, SA;inactive;CSP-365-BUP;Microsoft 365 Empresa Estándar;311500E4-0E44-4EDB-8C47-B0D270BD33F5;1970-01-01;1970-01-01;PLATAFORMAS Y ANDAMIOS INDUSTRIALS, SA;7;9.44;10.5;73.5;Anual;gemma@plainsaandamios.es;0;1
LICVRCMOBILIM3651;LICENCIA M365 VRC MOBILIARIO Y DISENO DE COCINAS S.L.;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;0dacde3f-4828-457e-d764-11a51a41b8b1;2022-11-28;2025-11-27;VRC MOBILIARIO Y DISENO DE COCINAS S.L.;4;119.49;140.4;561.6;Anual;vflores@vrccocinas.com;0;1
LICASSESSORIAM3651;LICENCIA M365 ASSESSORIA ORBA SL;active;TTC0LH161A1A;Exchange Online (Plan 1);10a0c519-8b69-4324-c1ec-023f43c28c58;2023-03-30;2025-03-29;ASSESSORIA ORBA SL;5;37.79;44.4;222.0;Anual;zaira@assessoriaorba.com;0;1
LICIBERBOARDM3651;LICENCIA M365 IBERBOARD MILL SL;active;TTC0HL8W1A1A;Power BI Premium por usuario;7e23a195-f396-41c3-c432-b5714318938e;2024-01-07;2025-06-30;IBERBOARD MILL SL;2;190.98;224.4;448.8;Anual;mpuiggene@iberboard.com;0;0
LICJOLTECHSOM3651;LICENCIA M365 JOLTECH SOLUTIONS SL;active;TTC0HDB02A1M;Project Plan 1;50696c24-b9a6-4823-c54c-6a4fdb2d64e8;2023-05-07;2025-04-11;JOLTECH SOLUTIONS SL;3;286.98;337.2;1011.6;Mensual;jalopez@jolt-solutions.com;0;1
LICLORENZOSAM3651;LICENCIA M365 LORENZO SANTOS;inactive;CSP-365-BUP;Microsoft 365 Empresa Estándar;0A19A573-20DE-4585-A867-7E22F13C5B9C;1970-01-01;1970-01-01;LORENZO SANTOS;5;9.44;10.5;52.5;Anual;comunidades@lsn.es;0;1
LICSEPESM3651;LICENCIA M365 SEPES;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;30591da3-0d0b-4431-c932-e0d22e1e8819;2023-01-03;2025-02-03;SEPES;2;100.09;117.6;235.2;Anual;sepes@sepes.net;0;1
LICNOTCLASIKM3651;LICENCIA M365 NOTCLASIK TEXTIL SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;36b3a27c-931b-4fb7-d995-17d79ae42597;2024-12-07;2025-11-07;NOTCLASIK TEXTIL SL;8;119.49;140.4;1123.2;Anual;mcasane@vita-couture.com;0;1
LICCHMLABGROM3651;LICENCIA M365 CHMLAB GROUP 2005 SL;inactive;CSP-365-BUP;Microsoft 365 Empresa Estándar;B522FF2E-7449-4FBE-B991-0CC3922BA99D;1970-01-01;1970-01-01;CHMLAB GROUP 2005, SL;8;9.44;10.5;84.0;Anual;helena@chmlab.com;0;1
LICBEATRIZARM3651;LICENCIA M365 BEATRIZ ARIZON DEZA;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;39d91ef6-ffa0-4ace-cd3e-3c5217789ac1;2022-12-09;2025-11-09;BEATRIZ ARIZON DEZA;1;100.09;117.6;117.6;Anual;beatriz@notariamontroig.com;0;1
LICCOLEGIOOFM3651;LICENCIA M365 Colegio Oficial de Agentes de la Propiedad Industrial;inactive;TTC0LH161M;Exchange Online (Plan 1);bf1a6660-54a5-4fbc-c54a-50a9e9fc3ad3;1970-01-01;1970-01-01;Colegio Oficial de Agentes de la Propiedad Industrial;1;3.78;4.44;4.44;Mensual;coapi@coapi.org;0;1
LICVIATGESVIM3651;LICENCIA M365 VIATGES VIATOURS;active;TTC0LH161A1A;Exchange Online (Plan 1);a5fab865-5b34-436c-d58a-6c540bd6c5d3;2023-12-28;2025-12-27;VIATGES VIATOURS;1;37.79;44.4;44.4;Anual;diana@viatours.cat;0;1
LICMARIATEREM3651;LICENCIA M365 Maria Teresa Arnal;inactive;CSP-365-BUP;M TERESA ARNAL VIDAL;5FF7CCF2-8120-4D7F-A000-2A5A731E15BB;1970-01-01;1970-01-01;Maria Teresa Arnal;2;9.44;10.5;21.0;Anual;tarnal@tinet.org;0;1
LICMADRIDDIAM3651;LICENCIA M365 MADRID DIARIO SL;inactive;TTC0LH1P1M;Exchange Online (plan 2);d34d2e24-b51d-40b0-da97-36594ffaf591;1970-01-01;1970-01-01;MADRID DIARIO SL;1;7.66;9.0;9.0;Mensual;erodriguez@madridiario.es;0;1
LICSERAWAHOTM3651;LICENCIA M365 SERAWA HOTELS;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;4ffc5eb2-bfc5-48ad-c13e-8d25b030b014;2024-03-06;2025-02-06;SERAWA Hotels;4;119.49;140.4;561.6;Anual;jorge.martinez@serawahotels.com;0;1
LICCLEANPROTM3651;LICENCIA M365 CLEAN PROTECT, SLU;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;5a2d6be6-4d86-4467-d6e2-7d21c01f029e;2023-12-27;2025-12-26;CLEAN PROTECT, SLU;1;100.09;117.6;117.6;Anual;ricardo@clean-protect.es;0;1
LICIDROHPPFM3651;LICENCIA M365 IDRO HPP FOOD TECNOLOGY SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;535b65bc-b8ac-4b93-df0f-b8222782e6e6;2024-01-31;2025-01-30;IDRO HPP FOOD TECNOLOGY SL;7;119.49;140.4;982.8;Anual;roberto.cabrera@idro.es;0;1
LICDVMIBERICM3651;LICENCIA M365 DVM IBERICA SLU;active;TTC0LH161A1A;Exchange Online (plan 1);0acfdc53-3d34-4d8b-ca09-27877e0526d9;2024-06-02;2025-05-02;DVM IBERICA SLU;2;37.79;44.4;88.8;Anual;klaus.kerner@dexa-soluciones.es;0;1
